Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6uvh0In7u1Xn4HgxOfAn8O,"Matilda","Harry's House","Harry Styles",2022-05-20,245964,75,,1970-01-01T00:00:00Z,"pop","Columbia",0.507,0.294,2,-10,1,0.04,0.896,0.0000197,0.0966,0.386,114.199,4
25Syi9wnfn6ZGAmiOBypPq,"Motion Sickness","Stranger in the Alps (Deluxe Edition)","Phoebe Bridgers",2018-10-02,229760,62,,1970-01-01T00:00:00Z,"indie pop,la indie,pov: indie","Dead Oceans",0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4
4sEN7hRcdfzDpk4wUG47qO,"Smoke Slow","Smoke Slow","Joshua Bassett",2022-08-12,163759,44,,1970-01-01T00:00:00Z,"singer-songwriter pop","Warner Records",0.335,0.504,0,-6.882,1,0.0636,0.434,0,0.206,0.478,185.544,3
5UXJzLFdBn6u9FJTCnoHrH,"Memories","Superache","Conan Gray",2022-06-24,248818,77,,1970-01-01T00:00:00Z,"bedroom pop,pop,pov: indie","Republic Records",0.34,0.684,11,-6.306,1,0.044,0.00979,0,0.348,0.556,112.969,4
5LrN7yUQAzvthd4QujgPFr,"Here With Me","Petals to Thorns","d4vd",2023-05-26,242484,84,,1970-01-01T00:00:00Z,"bedroom pop,bedroom r&b","Darkroom/Interscope Records",0.575,0.45,4,-9.306,1,0.0259,0.531,0.0000659,0.124,0.263,132.039,4
6e0Gfl49FN9m2c8QaB9vFr,"Look Back & Laugh","Footprints I Found","David Kushner",2022-09-16,164186,54,,1970-01-01T00:00:00Z,"gen z singer-songwriter,singer-songwriter pop","David Kushner",0.546,0.332,2,-10.334,1,0.0582,0.611,0.000385,0.123,0.211,74.938,4
5Qnrgqy1pAm9GyNQOgyVFz,"Fourth of July","Carrie & Lowell","Sufjan Stevens",2015-03-31,279316,77,,1970-01-01T00:00:00Z,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter","Asthmatic Kitty",0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,4
7BpqydHSxMviDR0DNTne6J,"Yours","Yours","Conan Gray",2022-05-19,204967,49,,1970-01-01T00:00:00Z,"bedroom pop,pop,pov: indie","Republic Records",0.523,0.302,2,-8.868,1,0.035,0.848,0,0.127,0.172,130.47,4
3wBjBw0VvTIJeAwdeB7gRx,"2.9 Miles Away","Melatonin Dreams","BoyWithUke",2021-01-22,179853,46,,1970-01-01T00:00:00Z,"sad rap","BoyWithUke",0.908,0.172,0,-18.858,1,0.211,0.934,0.0242,0.0895,0.438,139.908,4
1xWMqWlcfGrdnQWim2PJVb,"Maybe My Soulmate Died","Chasing the Wind","iamnotshane",2024-01-24,114375,58,,1970-01-01T00:00:00Z,"singer-songwriter pop","Chasing The Wind Music",0.612,0.49,0,-9.997,1,0.242,0.0806,0.00195,0.122,0.491,96.034,4
0T5iIrXA4p5GsubkhuBIKV,"Until I Found You","Until I Found You","Stephen Sanchez",2021-09-01,177720,76,,1970-01-01T00:00:00Z,"gen z singer-songwriter","Republic Records",0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,3
1Ame8XTX6QHY0l0ahqUhgv,"THE LONELIEST","THE LONELIEST","Måneskin",2022-10-07,247067,67,,1970-01-01T00:00:00Z,"indie rock italiano,italian pop","Epic",0.519,0.595,2,-5.001,1,0.0283,0.00151,0,0.0762,0.237,129.786,4
2z9iuAxKv4TTeCrPAxxKg9,"Love Lost","I Love Life, Thank You","Mac Miller,The Temper Trap",2022-07-22,162875,76,,1970-01-01T00:00:00Z,"hip hop,pittsburgh rap,rap,indietronica,modern rock,shimmer pop","Rostrum Records",0.735,0.812,2,-4.417,1,0.151,0.528,0,0.186,0.584,109.829,4
4ak9GGe6afmi2HbxEjvhIC,"Male Fantasy","Happier Than Ever","Billie Eilish",2021-07-30,194886,70,,1970-01-01T00:00:00Z,"art pop,pop","Darkroom/Interscope Records",0.687,0.288,2,-10.415,1,0.045,0.863,0,0.0986,0.308,110.927,4
1Ist6PR2BZR3n2z2Y5R6S1,"Summertime Sadness","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,264773,72,,1970-01-01T00:00:00Z,"art pop,pop","Urban",0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,4
7rWgGyRK7RAqAAXy4bLft9,"Angeleyes","Voulez-Vous","ABBA",1979,260893,67,,1970-01-01T00:00:00Z,"europop,swedish pop","Polar Music International AB",0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,4
3kCYnvSwhSzYBD7fnDFhbY,"14","14","Clinton Kane",2022-06-03,141796,35,,1970-01-01T00:00:00Z,"alt z,gen z singer-songwriter","Columbia",0.402,0.634,2,-5.808,1,0.364,0.707,0,0.387,0.705,68.877,5
3pOZSiqMwaRxtW0I4oQmtz,"Stand by Me","BE HERE NOW","Oasis",1997,356066,41,,1970-01-01T00:00:00Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.22,0.831,7,-2.623,1,0.0377,0.0118,0.00000179,0.135,0.393,169.916,4
4nvGIQPgLnWWJUJrnRsIOX,"gfy (with Machine Gun Kelly)","in loving memory","blackbear,mgk",2022-08-26,174066,55,,1970-01-01T00:00:00Z,"alt z,pop,ohio hip hop,pop rap","Alamo/Columbia",0.744,0.732,8,-3.036,1,0.0522,0.0264,0,0.352,0.387,121.086,4
0m3n8hlriVrPAj6fwb3ZKf,"Daisy Chains","Daisy Chains","Pat",2022-04-24,212224,14,,1970-01-01T00:00:00Z,"","Pat",0.739,0.514,11,-10.285,1,0.269,0.506,0.000138,0.275,0.804,86.922,4
4SqWKzw0CbA05TGszDgMlc,"I Love You So","I Love You So","The Walters",2014-11-28,160239,86,,1970-01-01T00:00:00Z,"chicago indie,pov: indie","Warner Records",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,4
109mLhImxxL2CvcRLkFEqr,"EP. 2: Friends","Season 1","Ian McConnell",2022-07-07,166207,42,,1970-01-01T00:00:00Z,"","Ian McConnell",0.721,0.666,5,-6.926,1,0.0303,0.596,0,0.0999,0.768,130.002,4
01tEAvdPLPREA9JT9Wpb26,"toxic energy (with Bert McCracken of The Used)","in loving memory","blackbear,The Used",2022-08-26,191559,43,,1970-01-01T00:00:00Z,"alt z,pop,alternative metal,neon pop punk,pop emo,post-grunge,post-hardcore,screamo","Alamo/Columbia",0.556,0.865,6,-2.982,0,0.0658,0.00341,0,0.243,0.432,91.045,4
4Dvkj6JhhA12EX05fT7y2e,"As It Was","Harry's House","Harry Styles",2022-05-20,167303,86,,1970-01-01T00:00:00Z,"pop","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
0fw48fVAOb7w2y3x2DRabI,"Bedtime Stories","£5 Flights","Pat",2022-05-29,225895,11,,1970-01-01T00:00:00Z,"","Pat",0.466,0.449,10,-13.997,0,0.236,0.94,0.0103,0.118,0.365,171.532,1
7rNun2AyLu4u4rQpRt0iS9,"Westcoast Collective","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,107280,60,,1970-01-01T00:00:00Z,"alternative pop rock,pov: indie","Columbia",0.682,0.571,1,-7.169,0,0.0271,0.542,0.00757,0.339,0.539,91.97,4
1ODRbz1jZsSrTkpTVcYElX,"The Hardest Part","Aftershock","Alexander 23",2022-07-15,203600,41,,1970-01-01T00:00:00Z,"alt z,singer-songwriter pop","Alexander 23 / Interscope PS",0.499,0.43,8,-8.932,1,0.0731,0.713,0,0.15,0.4,161.875,4
38o5lj4mbLK34vQkJUlMrg,"London","London","Mokita",2018-12-14,160225,51,,1970-01-01T00:00:00Z,"chill pop,singer-songwriter pop","Armada Music",0.684,0.512,11,-8.715,1,0.0525,0.544,0,0.097,0.466,119.901,4
6Sjmx09ykOw95BvbbGH0cY,"Dead Inside","Dead Inside","Justus Bennetts",2022-09-09,115695,33,,1970-01-01T00:00:00Z,"gen z singer-songwriter","Sounds Good/Capitol Records",0.719,0.818,8,-3.888,0,0.125,0.0288,0,0.0966,0.776,93.941,4
20j7l6tFtc5lynXpbOQg1O,"Superstar Sh*t","What Could Possibly Go Wrong","Dominic Fike",2020-07-31,127054,65,,1970-01-01T00:00:00Z,"alternative pop rock,pov: indie","Columbia",0.756,0.394,4,-7.321,0,0.0956,0.945,0.0371,0.12,0.197,70.027,4
27RDHPogNiOiPshJZ2cEVT,"Hate Me If It Helps","Aftershock","Alexander 23",2022-07-15,196452,39,,1970-01-01T00:00:00Z,"alt z,singer-songwriter pop","Alexander 23 / Interscope PS",0.529,0.434,2,-8.844,1,0.223,0.302,0,0.111,0.603,161.963,4
6GQLX6Z28fYwDNCrhaKzYF,"Undercover Martyn","Tourist History","Two Door Cinema Club",2010-03-01,166573,59,,1970-01-01T00:00:00Z,"indie rock,indietronica,irish rock,modern alternative rock,modern rock,northern irish indie","Kitsune",0.445,0.87,2,-4.898,1,0.116,0.000244,0.00000735,0.096,0.625,159.867,4
2oT4LBH8mdKqGuWlhlepEU,"I’ll Never Get Over It","I’ll Never Get Over It","Sydney Rose",2022-06-03,243767,19,,1970-01-01T00:00:00Z,"gen z singer-songwriter","Public Consumption",0.571,0.252,9,-14.205,1,0.0646,0.806,0.0000428,0.0941,0.359,138.032,4
0dj4f0wxf99HcVwk3HbxT2,"Don't Go Away","BE HERE NOW","Oasis",1997,288666,33,,1970-01-01T00:00:00Z,"beatlesque,britpop,madchester,permanent wave,rock","Sony Music Labels Inc.",0.425,0.847,0,-4.421,1,0.037,0.0536,0.00000189,0.0799,0.185,81.136,4
